trial_type,workspace,trial_name,agent_name,model,milestone_id,milestone_order,grading_status
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M016.1,9,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M017,10,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M018,11,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M019,12,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M025,13,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M003.1,1,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M004,2,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M006,3,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M001.1,4,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M003.2,5,non_graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M001.2,6,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M003.3,7,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M011,8,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M016.1,9,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M017,10,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M018,11,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M019,12,graded
e2e,dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,M025,13,graded
e2e,dubbo,_codex_gpt-5.4_run_002,codex,gpt-5.4,M003.1,1,graded
e2e,dubbo,_codex_gpt-5.4_run_002,codex,gpt-5.4,M003.2,2,non_graded
e2e,dubbo,_codex_gpt-5.4_run_002,codex,gpt-5.4,M004,3,graded
e2e,dubbo,_codex_gpt-5.4_run_002,codex,gpt-5.4,M003.3,4,graded
e2e,dubbo,_codex_gpt-5.4_run_002,codex,gpt-5.4,M001.1,5,graded
e2e,dubbo,_codex_gpt-5.4_run_002,codex,gpt-5.4,M006,6,graded
e2e,dubbo,_codex_gpt-5.4_run_002,codex,gpt-5.4,M001.2,7,graded
